i,j,x,y,rho,p,T,u,v,miubl
1,1,1.16072528e+00,1.97381740e-01,1.14017738e+00,9.88898165e+04,3.02138780e+02,2.20788753e+00,-4.29876644e+00,1.91194861e-07
1,2,8.40821637e-01,5.29257675e-01,1.13857890e+00,9.87788799e+04,3.02223537e+02,1.59680971e+01,-7.37654148e+00,3.08252013e-07
1,3,3.05829641e-01,7.14865976e-01,1.13765291e+00,9.85189903e+04,3.01673728e+02,3.88130888e+01,1.62325100e+00,5.03419793e-07
1,4,-3.05829641e-01,7.14865976e-01,1.14776772e+00,9.92023220e+04,3.01089182e+02,5.52087403e+01,1.95040635e+01,7.58734944e-07
1,5,-8.40821637e-01,5.29257675e-01,1.16552879e+00,1.00836426e+05,3.01385087e+02,5.11149313e+01,2.97725568e+01,9.60791705e-07
1,6,-1.16072528e+00,1.97381740e-01,1.19186454e+00,1.03694669e+05,3.03079701e+02,3.22347321e+01,1.64385742e+01,1.03579129e-06
1,7,-1.16072528e+00,-1.97381740e-01,1.19186454e+00,1.03694669e+05,3.03079701e+02,3.22347321e+01,-1.64385742e+01,1.03579129e-06
1,8,-8.40821637e-01,-5.29257675e-01,1.16552879e+00,1.00836426e+05,3.01385087e+02,5.11149313e+01,-2.97725568e+01,9.60791705e-07
1,9,-3.05829641e-01,-7.14865976e-01,1.14776772e+00,9.92023220e+04,3.01089182e+02,5.52087403e+01,-1.95040635e+01,7.58734944e-07
1,10,3.05829641e-01,-7.14865976e-01,1.13765291e+00,9.85189903e+04,3.01673728e+02,3.88130888e+01,-1.62325100e+00,5.03419793e-07
1,11,8.40821637e-01,-5.29257675e-01,1.13857890e+00,9.87788799e+04,3.02223537e+02,1.59680971e+01,7.37654148e+00,3.08252013e-07
1,12,1.16072528e+00,-1.97381740e-01,1.14017738e+00,9.88898165e+04,3.02138780e+02,2.20788753e+00,4.29876644e+00,1.91194861e-07
2,1,1.56718955e+00,3.19907485e-01,1.14479528e+00,9.93342372e+04,3.02272368e+02,2.16794842e+01,-1.08026814e+01,6.00744064e-07
2,2,1.14100079e+00,8.66959222e-01,1.15132957e+00,9.95390270e+04,3.01176479e+02,5.78094199e+01,-1.37758801e+01,9.74519296e-07
2,3,4.16020101e-01,1.17750692e+00,1.16164294e+00,9.97592888e+04,2.99163086e+02,8.87265319e+01,5.51816362e+00,1.38541528e-06
2,4,-4.16020101e-01,1.17750692e+00,1.17486874e+00,1.00864922e+05,2.99073634e+02,8.92860830e+01,2.23189186e+01,1.64250130e-06
2,5,-1.14100079e+00,8.66959222e-01,1.18635336e+00,1.02311119e+05,3.00425012e+02,7.06585089e+01,2.23284748e+01,1.72581688e-06
2,6,-1.56718955e+00,3.19907485e-01,1.19380280e+00,1.03284667e+05,3.01391207e+02,5.46395786e+01,1.07726528e+01,1.76268905e-06
2,7,-1.56718955e+00,-3.19907485e-01,1.19380280e+00,1.03284667e+05,3.01391207e+02,5.46395786e+01,-1.07726528e+01,1.76268905e-06
2,8,-1.14100079e+00,-8.66959222e-01,1.18635336e+00,1.02311119e+05,3.00425012e+02,7.06585089e+01,-2.23284748e+01,1.72581688e-06
2,9,-4.16020101e-01,-1.17750692e+00,1.17486874e+00,1.00864922e+05,2.99073634e+02,8.92860830e+01,-2.23189186e+01,1.64250130e-06
2,10,4.16020101e-01,-1.17750692e+00,1.16164294e+00,9.97592888e+04,2.99163086e+02,8.87265319e+01,-5.51816362e+00,1.38541528e-06
2,11,1.14100079e+00,-8.66959222e-01,1.15132957e+00,9.95390270e+04,3.01176479e+02,5.78094199e+01,1.37758801e+01,9.74519296e-07
2,12,1.56718955e+00,-3.19907485e-01,1.14479528e+00,9.93342372e+04,3.02272368e+02,2.16794842e+01,1.08026814e+01,6.00744064e-07
3,1,1.97823454e+00,4.43814055e-01,1.15024164e+00,9.96501809e+04,3.01797979e+02,3.79749687e+01,-1.43621856e+01,9.15304614e-07
3,2,1.44281972e+00,1.20650552e+00,1.16484890e+00,1.00377542e+05,3.00188660e+02,7.41972368e+01,-1.62698421e+01,1.34528147e-06
3,3,5.26605161e-01,1.64180461e+00,1.17250345e+00,1.00486074e+05,2.98551370e+02,9.20171431e+01,4.83176474e+00,1.65345704e-06
3,4,-5.26605161e-01,1.64180461e+00,1.17339802e+00,1.00774789e+05,2.99180902e+02,8.10036692e+01,1.52892802e+01,1.64705274e-06
3,5,-1.44281972e+00,1.20650552e+00,1.17898387e+00,1.01638898e+05,3.00316643e+02,6.79017553e+01,1.23829389e+01,1.56411695e-06
3,6,-1.97823454e+00,4.43814055e-01,1.18672594e+00,1.02556199e+05,3.01050119e+02,6.06810593e+01,5.02064450e+00,1.55472642e-06
3,7,-1.97823454e+00,-4.43814055e-01,1.18672594e+00,1.02556199e+05,3.01050119e+02,6.06810593e+01,-5.02064450e+00,1.55472642e-06
3,8,-1.44281972e+00,-1.20650552e+00,1.17898387e+00,1.01638898e+05,3.00316643e+02,6.79017553e+01,-1.23829389e+01,1.56411695e-06
3,9,-5.26605161e-01,-1.64180461e+00,1.17339802e+00,1.00774789e+05,2.99180902e+02,8.10036692e+01,-1.52892802e+01,1.64705274e-06
3,10,5.26605161e-01,-1.64180461e+00,1.17250345e+00,1.00486074e+05,2.98551370e+02,9.20171431e+01,-4.83176474e+00,1.65345704e-06
3,11,1.44281972e+00,-1.20650552e+00,1.16484890e+00,1.00377542e+05,3.00188660e+02,7.41972368e+01,1.62698421e+01,1.34528147e-06
3,12,1.97823454e+00,-4.43814055e-01,1.15024164e+00,9.96501809e+04,3.01797979e+02,3.79749687e+01,1.43621856e+01,9.15304614e-07
